ensembl	symbol	TPM	gene_type
ENSG00000238009	ENSG00000238009	1.1297955118602945	lncRNA
ENSG00000237491	LINC01409	1.2021113250271274	lncRNA
ENSG00000225880	LINC00115	3.961237735084763	lncRNA
ENSG00000230368	FAM41C	2.6773539136305247	lncRNA
ENSG00000188976	NOC2L	116.6045203898884	protein_coding
ENSG00000187961	KLHL17	3.2909257745768095	protein_coding
ENSG00000187583	PLEKHN1	0.8544391463404293	protein_coding
ENSG00000188290	HES4	66.06160787887394	protein_coding
ENSG00000187608	ISG15	66.45572906063316	protein_coding
ENSG00000188157	AGRN	13.50136231824776	protein_coding
ENSG00000131591	C1orf159	9.902538062226007	protein_coding
ENSG00000078808	SDF4	54.664357586038065	protein_coding
ENSG00000176022	B3GALT6	11.163336451015452	protein_coding
ENSG00000184163	C1QTNF12	1.0992003601358649	protein_coding
ENSG00000160087	UBE2J2	88.90116677890346	protein_coding
ENSG00000162572	SCNN1D	0.35351307128863463	protein_coding
ENSG00000131584	ACAP3	14.537981686220018	protein_coding
ENSG00000169972	PUSL1	48.07610886879661	protein_coding
ENSG00000127054	INTS11	37.990556171709926	protein_coding
ENSG00000224051	CPTP	15.857189001028823	protein_coding
ENSG00000107404	DVL1	11.257347008132337	protein_coding
ENSG00000162576	MXRA8	15.774582091372867	protein_coding
ENSG00000175756	AURKAIP1	870.4078685763808	protein_coding
ENSG00000221978	CCNL2	32.48621023874212	protein_coding
ENSG00000224870	MRPL20-AS1	53.233895174049515	lncRNA
ENSG00000242485	MRPL20	370.31314723826176	protein_coding
ENSG00000272455	MRPL20-DT	1.4193369022705764	lncRNA
ENSG00000179403	VWA1	3.133499812067473	protein_coding
ENSG00000215915	ATAD3C	0.33904990865526796	protein_coding
ENSG00000160072	ATAD3B	52.920433937745585	protein_coding
ENSG00000197785	ATAD3A	63.73999213847563	protein_coding
ENSG00000160075	SSU72	308.5690715431907	protein_coding
ENSG00000215014	ENSG00000215014	3.638597953263507	lncRNA
ENSG00000228594	FNDC10	4.26607670135726	protein_coding
ENSG00000272106	ENSG00000272106	4.934441697664569	lncRNA
ENSG00000197530	MIB2	15.962881343349585	protein_coding
ENSG00000189409	MMP23B	21.164891549731433	protein_coding
ENSG00000248333	CDK11B	15.510351235570974	protein_coding
ENSG00000272004	ENSG00000272004	0.5440374252089452	lncRNA
ENSG00000189339	SLC35E2B	14.8275230766303	protein_coding
ENSG00000008128	CDK11A	22.57532804422763	protein_coding
ENSG00000008130	NADK	46.96439231022802	protein_coding
ENSG00000078369	GNB1	45.66882670356992	protein_coding
ENSG00000231050	GNB1-DT	0.6035589022001079	lncRNA
ENSG00000178821	TMEM52	34.340554570985496	protein_coding
ENSG00000067606	PRKCZ	4.910243714027975	protein_coding
ENSG00000182873	PRKCZ-AS1	0.556275485898717	lncRNA
ENSG00000162585	FAAP20	183.1303401617448	protein_coding
ENSG00000157933	SKI	5.005366822116655	protein_coding
ENSG00000116151	MORN1	3.8783526876858545	protein_coding
ENSG00000157916	RER1	164.48565470087752	protein_coding
ENSG00000157911	PEX10	23.616675753830027	protein_coding
ENSG00000157881	PANK4	2.617832436639362	protein_coding
ENSG00000272449	ENSG00000272449	3.5050918366478157	lncRNA
ENSG00000157873	TNFRSF14	2.0554379203957596	protein_coding
ENSG00000157870	PRXL2B	17.539087932643596	protein_coding
ENSG00000215912	TTC34	0.431391639314455	protein_coding
ENSG00000158109	TPRG1L	5.771358166199189	protein_coding
ENSG00000116213	WRAP73	18.00496865208377	protein_coding
ENSG00000078900	TP73	1.1717943110456472	protein_coding
ENSG00000235169	SMIM1	131.35778068915124	protein_coding
ENSG00000130764	LRRC47	30.31979535890957	protein_coding
ENSG00000272153	ENSG00000272153	0.692841117686852	lncRNA
ENSG00000116198	CEP104	22.8281552525686	protein_coding
ENSG00000169598	DFFB	5.677347609082306	protein_coding
ENSG00000198912	C1orf174	43.72714712004044	protein_coding
ENSG00000236423	LINC01134	0.6077309683443483	lncRNA
ENSG00000131697	NPHP4	2.030683661273266	protein_coding
ENSG00000069424	KCNAB2	2.5266032569519723	protein_coding
ENSG00000116251	RPL22	1619.2931851920423	protein_coding
ENSG00000226944	RNF207-AS1	0.8118840716691774	lncRNA
ENSG00000158286	RNF207	5.947141219743183	protein_coding
ENSG00000116237	ICMT	36.4012771084973	protein_coding
ENSG00000225077	ICMT-DT	0.5704605107891342	lncRNA
ENSG00000097021	ACOT7	29.982136138969047	protein_coding
ENSG00000271746	ENSG00000271746	1.823471042775994	lncRNA
ENSG00000069812	HES2	0.40357786501951914	protein_coding
ENSG00000187017	ESPN	14.463997046595487	protein_coding
ENSG00000162408	NOL9	25.878491879494213	protein_coding
ENSG00000204859	ZBTB48	7.444078552296631	protein_coding
ENSG00000162413	KLHL21	7.768109022832633	protein_coding
ENSG00000116273	PHF13	7.544208139758399	protein_coding
ENSG00000041988	THAP3	17.760485576031286	protein_coding
ENSG00000007923	DNAJC11	12.62967863184447	protein_coding
ENSG00000237436	CAMTA1-DT	0.33487784251102765	lncRNA
ENSG00000171735	CAMTA1	80.90860059751068	protein_coding
ENSG00000049245	VAMP3	26.558816798748342	protein_coding
ENSG00000049246	PER3	16.30665959363499	protein_coding
ENSG00000236266	ENSG00000236266	0.8964379455257824	lncRNA
ENSG00000049249	TNFRSF9	2.910989617707986	protein_coding
ENSG00000116288	PARK7	487.0114000475241	protein_coding
ENSG00000116285	ERRFI1	3.739283816211175	protein_coding
ENSG00000142599	RERE	17.242036823173684	protein_coding
ENSG00000074800	ENO1	824.5699341250976	protein_coding
ENSG00000230679	ENO1-AS1	1.724732144028972	lncRNA
ENSG00000180758	GPR157	1.1517683935532934	protein_coding
ENSG00000049239	H6PD	1.3367299926146168	protein_coding
ENSG00000171612	SLC25A33	73.640583236501	protein_coding
ENSG00000188807	TMEM201	5.9735643053233725	protein_coding
ENSG00000171608	PIK3CD	3.3281962321320235	protein_coding
ENSG00000231789	PIK3CD-AS2	27.888315210046276	lncRNA
ENSG00000171603	CLSTN1	5.400044279361795	protein_coding
ENSG00000178585	CTNNBIP1	40.135832583078326	protein_coding
ENSG00000162441	LZIC	56.039748724922646	protein_coding
ENSG00000173614	NMNAT1	6.022516548082459	protein_coding
ENSG00000130939	UBE4B	20.302942684331377	protein_coding
ENSG00000054523	KIF1B	11.066266378726128	protein_coding
ENSG00000142657	PGD	79.10459919674113	protein_coding
ENSG00000271989	ENSG00000271989	0.34739404094374876	lncRNA
ENSG00000175279	CENPS	19.911881017744573	protein_coding
ENSG00000251503	CENPS-CORT	0.4750592649575043	protein_coding
ENSG00000160049	DFFA	74.1139736750008	protein_coding
ENSG00000142655	PEX14	12.047814473594412	protein_coding
ENSG00000120948	TARDBP	63.33891751314266	protein_coding
ENSG00000116649	SRM	574.6256234898009	protein_coding
ENSG00000171824	EXOSC10	25.46740429541506	protein_coding
ENSG00000230337	EXOSC10-AS1	2.2337242136262976	lncRNA
ENSG00000198793	MTOR	16.608160906992094	protein_coding
ENSG00000120942	UBIAD1	18.889168536919783	protein_coding
ENSG00000116661	FBXO2	1.0858497484742955	protein_coding
ENSG00000132879	FBXO44	5.373621193781606	protein_coding
ENSG00000116663	FBXO6	12.528158355667951	protein_coding
ENSG00000116670	MAD2L2	129.85083039785158	protein_coding
ENSG00000177674	AGTRAP	67.19585359462141	protein_coding
ENSG00000215910	C1orf167	0.30984544564558536	protein_coding
ENSG00000177000	MTHFR	17.508214643176217	protein_coding
ENSG00000011021	CLCN6	5.209241787698534	protein_coding
ENSG00000116685	KIAA2013	22.97834963376125	protein_coding
ENSG00000083444	PLOD1	19.435152926329373	protein_coding
ENSG00000116688	MFN2	17.92764635954385	protein_coding
ENSG00000116691	MIIP	60.72748224459113	protein_coding
ENSG00000120949	TNFRSF8	3.183564605798357	protein_coding
ENSG00000028137	TNFRSF1B	9.098719985102363	protein_coding
ENSG00000048707	VPS13D	12.414121881058716	protein_coding
ENSG00000162496	DHRS3	11.977445624628224	protein_coding
ENSG00000116731	PRDM2	13.2232245752984	protein_coding
ENSG00000234593	KAZN-AS1	0.8538828708545305	lncRNA
ENSG00000189337	KAZN	11.856177568702304	protein_coding
ENSG00000171729	TMEM51	0.9673630699778688	protein_coding
ENSG00000142634	EFHD2	34.83675230440715	protein_coding
ENSG00000132906	CASP9	9.952602855956894	protein_coding
ENSG00000116138	DNAJC16	9.283403446420737	protein_coding
ENSG00000116771	AGMAT	0.7568127985652043	protein_coding
ENSG00000197312	DDI2	19.655438018745265	protein_coding
ENSG00000116786	PLEKHM2	9.635525828994629	protein_coding
ENSG00000162458	FBLIM1	0.3718701623232923	protein_coding
ENSG00000179743	SPEN-AS1	13.212099065580428	lncRNA
ENSG00000065526	SPEN	37.80364760844796	protein_coding
ENSG00000116809	ZBTB17	9.506748054009073	protein_coding
ENSG00000185519	FAM131C	0.4809001575594408	protein_coding
ENSG00000142632	ARHGEF19	7.52251339580835	protein_coding
ENSG00000132881	CPLANE2	7.471057913362718	protein_coding
ENSG00000037637	FBXO42	8.343297875251906	protein_coding
